x y w
-86.05 90.0 1.0
-73.23 90.0 1.0
-9.120000000000005 48.51088913245536 1.0
94.08 -58.249110867544644 1.0
141.37 90.0 
82.12 85.72178913245536 1.0
99.28 96.61088913245536 1.0
100.7 97.63088913245535 1.0
102.68 48.691789132455355 1.0
91.37 26.260889132455357 1.0
109.71 90.0 
129.98999999999998 90.0 1.0
142.37 96.45088913245536 1.0
140.0 98.22178913245536 1.0
89.39 69.35178913245535 1.0
114.86 34.46088913245536 1.0
101.24 90.0 1.0
107.94 97.08178913245536 1.0
117.66 90.0 1.0
140.0 71.34178913245536 1.0
115.92 90.0 1.0
103.39999999999999 90.0 1.0
126.97 90.0 1.0
111.5 40.26088913245536 1.0
140.0 85.28088913245536 1.0
120.64 85.55088913245535 1.0
116.88 98.29088913245536 1.0
122.79 76.15088913245536 
95.13000000000001 64.90178913245536 1.0
118.3 68.28088913245536 1.0
140.82 58.03088913245536 1.0
131.36 55.51088913245536 1.0
140.23 38.320889132455356 1.0
116.6 54.680889132455356 1.0
118.76 40.78088913245536 1.0
131.92 90.0 1.0
133.68 80.61088913245536 1.0
132.7 98.91088913245535 1.0
