x y w
33.75640343559642 90.0 1.0
-109.43679656440358 -87.86679656440357 1.0
-136.3967965644036 -42.846796564403576 1.0
-106.98679656440358 -69.28679656440357 1.0
-101.67679656440357 11.843203435596427 1.0
50.78320343559643 90.0 1.0
41.34320343559643 90.0 1.0
49.44320343559642 90.0 1.0
42.183203435596425 90.0 1.0
56.44320343559642 -90.0 1.0
81.10320343559643 -40.28679656440357 1.0
131.26320343559644 10.403203435596426 1.0
43.21320343559643 95.69320343559643 1.0
13.873203435596423 74.75320343559642 
52.88320343559643 97.99320343559643 
2.4032034355964242 56.293203435596425 
25.513203435596424 46.02320343559643 1.0
11.446403435596423 33.02640343559643 1.0
20.56960343559642 45.299603435596424 1.0
53.71320343559643 11.233203435596426 1.0
-21.316796564403578 21.77320343559643 1.0
42.073203435596426 19.363203435596425 1.0
44.25320343559642 25.423203435596427 1.0
26.753203435596422 4.843203435596426 1.0
44.723203435596425 44.08320343559643 1.0
39.06320343559642 59.403203435596424 1.0
30.76640343559642 28.226403435596428 1.0
39.27320343559643 42.643203435596426 1.0
42.17320343559642 52.903203435596424 1.0
33.50640343559642 18.306403435596426 1.0
39.77320343559643 57.31320343559643 1.0
4.183203435596425 53.973203435596425 1.0
50.433203435596425 58.94320343559643 1.0
51.723203435596425 42.46320343559643 
42.08640343559643 49.256403435596425 1.0
40.74320343559643 61.263203435596424 1.0
60.043203435596425 77.94320343559643 1.0
59.24320343559643 83.31320343559642 1.0
57.583203435596424 64.58320343559643 1.0
42.013203435596424 90.0 1.0
45.91320343559643 94.05320343559643 1.0
44.939603435596425 85.32960343559641 1.0
36.87320343559642 85.26320343559642 1.0
64.41320343559643 95.17320343559642 1.0
41.67320343559643 94.35320343559643 1.0
48.98640343559642 84.29640343559643 1.0
77.77320343559643 90.0 1.0
