X Y W
70.1078 20.4092 1
60.4907 21.6576 1
69.8505 22.916 1
61.9351 21.7829 1
60.2051 23.9111 1
62.1342 23.7121 1
64.0633 23.513 1
69.1828 21.5589 1
61.4494 22.1546 1
63.3828 22.0057 1
61.5984 24.0881 1
63.5317 23.9391 1
59.814 26.1705 1
61.7473 26.0215 1
69.1401 19.7765 1
61.4032 20.3243 1
61.5401 22.2588 1
59.7429 24.3302 1
61.6771 24.1933 1
63.6114 24.0563 1
59.8799 26.2647 1
61.8141 26.1277 1
69.3564 21.631 1
69.5112 23.564 1
69.666 25.4971 1
69.8208 27.4302 1
61.4695 20.3171 1
63.5573 22.0953 1
61.7791 24.1832 1
63.7121 24.0284 1
60.0008 26.2711 1
66.9797 16.6708 1
67.1531 18.5799 1
65.3955 20.6633 1
67.3266 20.489 1
69.2577 20.3147 1
65.5689 22.5723 1
67.5 22.398 1
65.7424 24.4814 1
67.8469 26.2162 1
69.778 26.0419 1
59.2552 17.368 1
57.4975 19.4514 1
59.4286 19.2771 1
61.3598 19.1028 1
59.6021 21.1862 1
57.8444 23.2695 1
69.2256 17.8071 1
67.6919 21.8481 1
69.6205 21.6506 1
67.8893 23.7699 1
69.8179 23.5724 1
70.2128 27.416 1
59.5826 18.7945 1
61.5112 18.597 1
57.8514 20.9138 1
59.78 20.7163 1
58.0489 22.8356 1
59.9775 22.6381 1
61.9061 22.4406 1
60.1749 24.5598 1
69.928 19.7051 1
70.1507 21.6308 1
68.4477 23.7792 1
68.6704 25.7049 1
70.5961 25.4822 1
70.8188 27.4079 1
69.1158 29.5563 1
71.0415 29.3336 1
71.2642 31.2593 1
58.5967 22.9668 1
60.5224 22.7441 1
62.448 22.5215 1
64.3737 22.2988 1
70.8114 22.5532 1
69.1081 24.6777 1
71.0293 24.4724 1
69.326 26.5969 1
71.6831 30.23 1
59.5023 25.7042 1
61.4234 25.4989 1
63.3446 25.2936 1
59.7202 27.6234 1
61.6414 27.4181 1
63.5625 27.2128 1
59.8026 23.0465 1
61.7316 22.8697 1
63.6605 22.6929 1
59.9808 24.9757 1
62.088 26.7281 1
61.1706 22.1072 1
63.1002 22.0075 1
61.2706 24.0427 1
63.2001 23.943 1
61.9756 22.3828 1
60.1006 24.3822 1
67.6142 30.2305 1
59.6719 20.7027 1
59.7124 22.6406 1
61.6473 22.6002 1
59.7529 24.5784 1
