x y w
71.9032 70.6032 1.0
71.9032 70.6032 1.0
70.0 70.0 1.0
70.0 70.0 1.0
70.0 70.0 1.0
70.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
80.0 70.0 1.0
69.6732 50.4032 1.0
69.6732 50.4032 1.0
69.6732 50.4032 1.0
70.0 50.0 1.0
70.0 50.0 1.0
70.0 50.0 1.0
70.0 50.0 1.0
101.333 60.4832 1.0
80.0 60.0 1.0
80.0 60.0 1.0
80.0 60.0 1.0
80.0 60.0 1.0
80.0 60.0 1.0
80.0 60.0 1.0
80.0 60.0 1.0
80.0 60.0 1.0
80.0 60.0 1.0
90.0 60.0 1.0
90.0 60.0 1.0
90.0 60.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
80.0 50.0 1.0
90.0 50.0 1.0
90.0 50.0 1.0
90.0 50.0 1.0
90.0 50.0 1.0
90.0 40.0 1.0
90.0 40.0 1.0
90.0 40.0 1.0
90.0 40.0 1.0
90.0 40.0 1.0
90.0 40.0 1.0
90.0 40.0 1.0
80.0 40.0 1.0
80.0 40.0 1.0
80.0 40.0 1.0
80.0 40.0 1.0
80.0 40.0 1.0
80.0 40.0 1.0
80.0 40.0 1.0
80.0 40.0 1.0
80.0 40.0 1.0
80.0 40.0 1.0
70.0 40.0 1.0
70.0 40.0 1.0
70.0 40.0 1.0
70.0 40.0 1.0
70.0 40.0 1.0
70.0 40.0 1.0
70.0 40.0 1.0
70.0 40.0 1.0
70.0 40.0 1.0
68.4332 33.4332 1.0
70.0 30.0 1.0
70.0 30.0 1.0
70.0 30.0 1.0
70.0 30.0 1.0
70.0 30.0 1.0
70.0 30.0 1.0
70.0 30.0 1.0
70.0 30.0 1.0
70.0 30.0 1.0
70.0 30.0 1.0
70.0 30.0 1.0
70.0 30.0 1.0
80.0 30.0 1.0
80.0 30.0 1.0
80.0 30.0 1.0
80.0 30.0 1.0
80.0 30.0 1.0
80.0 30.0 1.0
80.0 20.0 1.0
80.0 20.0 1.0
80.0 20.0 1.0
80.0 20.0 1.0
80.0 20.0 1.0
80.0 20.0 1.0
80.0 20.0 1.0
80.0 20.0 1.0
80.0 20.0 1.0
80.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 20.0 1.0
70.0 10.0 1.0
70.0 10.0 1.0
70.0 10.0 1.0
70.0 10.0 1.0
